"","species","year","Apple","Field.Bean","Oilseed.Rape","growth.rate.dif"
"147","Andrena_flavipes",2007,1,0,1,-0.379836882197405
"148","Andrena_flavipes",2008,1,0,1,-1.89237870820244
"149","Andrena_flavipes",2009,1,0,1,-1.64779202593593
"150","Andrena_flavipes",2010,1,0,1,0.0376277944813613
"151","Andrena_flavipes",2011,1,0,1,-0.654420496817534
"152","Andrena_flavipes",2012,1,0,1,-1.04665496685094
"153","Andrena_flavipes",2013,1,0,1,-0.915209206355241
"154","Andrena_flavipes",2014,1,0,1,-0.0407162944290316
"155","Andrena_flavipes",2015,1,0,1,2.27833986085001
"156","Andrena_fulva",1985,1,0,1,-0.0913140230306264
"157","Andrena_fulva",1986,1,0,1,1.41627568744266
"158","Andrena_fulva",1987,1,0,1,1.0521531859296
"159","Andrena_fulva",1988,1,0,1,0.534517900817073
"160","Andrena_fulva",1989,1,0,1,-0.770694600041282
"161","Andrena_fulva",1990,1,0,1,-0.91897122033031
"162","Andrena_fulva",1991,1,0,1,-1.54817655446568
"163","Andrena_fulva",1992,1,0,1,-0.548979867678282
"164","Andrena_fulva",1993,1,0,1,0.290947715452799
"165","Andrena_fulva",1994,1,0,1,1.69811745422902
"166","Andrena_fulva",1995,1,0,1,-0.00555920116094321
"167","Andrena_fulva",1996,1,0,1,-2.53611492054424
"168","Andrena_fulva",1997,1,0,1,-0.512047141304948
"169","Andrena_fulva",1998,1,0,1,-1.45941655999206
"170","Andrena_fulva",1999,1,0,1,-0.591136861098978
"171","Andrena_fulva",2000,1,0,1,0.248474399135965
"172","Andrena_fulva",2001,1,0,1,0.82571429196712
"173","Andrena_fulva",2002,1,0,1,-0.54702219676854
"174","Andrena_fulva",2003,1,0,1,0.30879669201149
"175","Andrena_fulva",2004,1,0,1,-0.197808487276344
"176","Andrena_fulva",2005,1,0,1,-1.06656084193609
"177","Andrena_fulva",2006,1,0,1,-0.528050179346978
"178","Andrena_fulva",2007,1,0,1,-0.780883434089189
"179","Andrena_fulva",2008,1,0,1,0.364113306419039
"180","Andrena_fulva",2009,1,0,1,0.208658951799424
"181","Andrena_fulva",2010,1,0,1,0.439016256228759
"182","Andrena_fulva",2011,1,0,1,0.36445123595552
"183","Andrena_fulva",2012,1,0,1,-0.0500253727415446
"184","Andrena_fulva",2013,1,0,1,1.60399989571089
"185","Andrena_fulva",2014,1,0,1,1.64492383936251
"186","Andrena_fulva",2015,1,0,1,1.15260064934415
"187","Andrena_haemorrhoa",1985,1,0,1,0.0507105819455317
"188","Andrena_haemorrhoa",1986,1,0,1,0.421116500343689
"189","Andrena_haemorrhoa",1987,1,0,1,0.879354583504124
"190","Andrena_haemorrhoa",1988,1,0,1,0.827365015034892
"191","Andrena_haemorrhoa",1989,1,0,1,0.15114970276179
"192","Andrena_haemorrhoa",1990,1,0,1,0.216283187748622
"193","Andrena_haemorrhoa",1991,1,0,1,-0.295172088987876
"194","Andrena_haemorrhoa",1992,1,0,1,-0.553658804407343
"195","Andrena_haemorrhoa",1993,1,0,1,-0.609804544603721
"196","Andrena_haemorrhoa",1994,1,0,1,-0.622393224855859
"197","Andrena_haemorrhoa",1995,1,0,1,-0.135679567985613
"198","Andrena_haemorrhoa",1996,1,0,1,0.322754126504431
"199","Andrena_haemorrhoa",1997,1,0,1,-0.265637857657845
"200","Andrena_haemorrhoa",1998,1,0,1,-1.0219104872572
"201","Andrena_haemorrhoa",1999,1,0,1,-0.447954311275281
"202","Andrena_haemorrhoa",2000,1,0,1,-0.588433370874109
"203","Andrena_haemorrhoa",2001,1,0,1,-0.816480767634273
"204","Andrena_haemorrhoa",2002,1,0,1,0.617544082145403
"205","Andrena_haemorrhoa",2003,1,0,1,0.627930628692166
"206","Andrena_haemorrhoa",2004,1,0,1,-0.118386977505727
"207","Andrena_haemorrhoa",2005,1,0,1,-0.5774858977939
"208","Andrena_haemorrhoa",2006,1,0,1,0.135652358355073
"209","Andrena_haemorrhoa",2007,1,0,1,-1.12488686509024
"210","Andrena_haemorrhoa",2008,1,0,1,0.485408093447906
"211","Andrena_haemorrhoa",2009,1,0,1,-1.23285762459494
"212","Andrena_haemorrhoa",2010,1,0,1,-1.42308816985292
"213","Andrena_haemorrhoa",2011,1,0,1,1.36470813244028
"214","Andrena_haemorrhoa",2012,1,0,1,-1.19735477077202
"215","Andrena_haemorrhoa",2013,1,0,1,-0.0504989342098825
"216","Andrena_haemorrhoa",2014,1,0,1,1.30895856878346
"217","Andrena_haemorrhoa",2015,1,0,1,3.67274870365139
"218","Andrena_minutula",1985,1,0,1,0.224157543551132
"219","Andrena_minutula",1986,1,0,1,0.000985710404224427
"220","Andrena_minutula",1987,1,0,1,-0.642847181253461
"221","Andrena_minutula",1988,1,0,1,0.183297122893811
"222","Andrena_minutula",1989,1,0,1,0.558919045530937
"223","Andrena_minutula",1990,1,0,1,1.72555179506696
"224","Andrena_minutula",1991,1,0,1,0.912058271923536
"225","Andrena_minutula",1992,1,0,1,0.834944056555273
"226","Andrena_minutula",1993,1,0,1,0.151295480476892
"227","Andrena_minutula",1994,1,0,1,-0.279352331409186
"228","Andrena_minutula",1995,1,0,1,-0.642539649132499
"229","Andrena_minutula",1996,1,0,1,-0.0213398504039965
"230","Andrena_minutula",1997,1,0,1,0.728206288913647
"231","Andrena_minutula",1998,1,0,1,-0.299001765466609
"232","Andrena_minutula",1999,1,0,1,1.43085247798031
"233","Andrena_minutula",2000,1,0,1,0.917356002798129
"234","Andrena_minutula",2001,1,0,1,-2.37975214992584
"235","Andrena_minutula",2002,1,0,1,-1.65500538246414
"236","Andrena_minutula",2003,1,0,1,-0.533416822865502
"237","Andrena_minutula",2004,1,0,1,0.893347745071077
"238","Andrena_minutula",2005,1,0,1,-0.294297504197949
"239","Andrena_minutula",2006,1,0,1,-0.197599021563851
"240","Andrena_minutula",2007,1,0,1,-0.205291995768017
"241","Andrena_minutula",2008,1,0,1,-1.20561036347512
