species,year,occupancy ,Apple,Field Bean,Oilseed Rape
Anthophora plumipes,2000,0.172807737,0,0,1
Anthophora plumipes,2001,0.193130991,0,0,1
Anthophora plumipes,2002,0.183421323,0,0,1
Anthophora plumipes,2003,0.190671438,0,0,1
Anthophora plumipes,2004,0.193690469,0,0,1
Anthophora plumipes,2005,0.213408295,0,0,1
Anthophora plumipes,2006,0.183609899,0,0,1
Anthophora plumipes,2007,0.228797351,0,0,1
Anthophora plumipes,2008,0.197333256,0,0,1
Anthophora plumipes,2009,0.212917701,0,0,1
Anthophora plumipes,2010,0.20171619,0,0,1
Anthophora plumipes,2011,0.241426731,0,0,1
Anthophora plumipes,2012,0.243163043,0,0,1
Anthophora plumipes,2013,0.259503573,0,0,1
Anthophora plumipes,2014,0.256954977,0,0,1
Anthophora plumipes,2015,0.273768896,0,0,1
Bombus hortorum,1985,0.471876435,1,1,1
Bombus hortorum,1986,0.466408408,1,1,1
Bombus hortorum,1987,0.482913189,1,1,1
Bombus hortorum,1988,0.46965438,1,1,1
Bombus hortorum,1989,0.443557794,1,1,1
Bombus hortorum,1990,0.42413816,1,1,1
Bombus hortorum,1991,0.454111505,1,1,1
Bombus hortorum,1992,0.51080915,1,1,1
Bombus hortorum,1993,0.515473909,1,1,1
Bombus hortorum,1994,0.520491521,1,1,1
Bombus hortorum,1995,0.527841078,1,1,1
Bombus hortorum,1996,0.517608395,1,1,1
Bombus hortorum,1997,0.522744201,1,1,1
Bombus hortorum,1998,0.574169217,1,1,1
Bombus hortorum,1999,0.618018471,1,1,1
Bombus hortorum,2000,0.54761647,1,1,1
Bombus hortorum,2001,0.56650086,1,1,1
Bombus hortorum,2002,0.571821964,1,1,1
Bombus hortorum,2003,0.556482228,1,1,1
Bombus hortorum,2004,0.556985572,1,1,1
Bombus hortorum,2005,0.5795024,1,1,1
Bombus hortorum,2006,0.571377204,1,1,1
Bombus hortorum,2007,0.544676474,1,1,1
Bombus hortorum,2008,0.577228402,1,1,1
Bombus hortorum,2009,0.604692526,1,1,1
Bombus hortorum,2010,0.608000535,1,1,1
Bombus hortorum,2011,0.620415301,1,1,1
Bombus hortorum,2012,0.622027251,1,1,1
